1,1,17,150,77,191,1,1,1.0
2,1,20,148,78,195,1,1,1.0
1,2,20,136,69,190,1,1,0.073298
2,2,24,134,69,191,1,1,0.072917
1,14,240,199,25,66,1,1,0.0
2,14,244,198,25,66,1,1,0.46154
1,112,566,181,228,98,0,3,0.32751
2,112,555,182,240,98,0,3,0.35685
1,113,-73,152,345,145,0,3,0.31554
2,113,-81,151,338,145,0,3,0.27019
1,117,307,213,12,32,1,1,1.0
2,117,312,213,12,32,1,1,1.0
1,118,493,187,24,49,0,8,0.0
2,118,501,187,25,49,0,8,0.0
1,125,114,154,85,176,1,1,1.0
2,125,117,152,86,180,1,1,1.0
1,146,325,-9,325,257,0,9,0.87112
2,146,332,-20,333,268,0,9,0.78879
1,150,259,204,19,47,1,1,0.3
2,150,264,204,19,44,1,1,0.7
