1,1,1363,569,103,241,1,1,0.86014
1,2,371,410,80,239,1,1,1.0
1,3,103,549,83,251,1,1,1.0
1,4,1734,457,76,213,1,1,0.98386
1,5,1098,980,78,208,1,1,0.48325
1,6,632,761,100,251,1,1,0.31903
1,7,623,901,144,123,0,11,1.0
1,8,671,427,42,652,0,10,0.80063
1,9,1516,126,100,73,0,11,1.0
1,10,1556,-1,25,129,0,11,1.0
1,11,1545,196,28,81,0,10,0.71909
1,12,1513,266,95,80,0,11,1.0
1,13,1537,342,29,197,0,10,0.17121
1,14,1537,381,94,212,0,10,0.44354
1,15,1299,74,76,92,0,10,0.80324
1,16,1311,2,49,73,0,11,1.0
1,17,1564,380,53,110,0,11,1.0
1,18,1842,581,80,78,0,11,1.0
1,19,1817,918,19,101,0,10,0.74118
1,20,1860,978,19,106,0,10,0.91589
1,21,1838,655,15,53,0,10,0.70833
1,22,1856,724,35,258,0,11,1.0
1,23,1826,697,42,268,0,11,1.0
1,24,622,274,91,90,0,11,1.0
1,25,616,129,101,71,0,11,1.0
1,26,650,1,29,133,0,11,1.0
1,27,654,194,26,84,0,11,1.0
1,28,654,363,30,82,0,11,1.0
1,29,621,437,55,245,0,10,0.88175
1,30,616,-1,40,137,0,10,0.3245
1,31,1413,723,39,100,0,10,1.0
1,32,1468,864,43,102,0,10,1.0
1,33,706,590,36,93,0,10,0.78378
1,34,92,0,115,219,0,11,1.0
1,35,198,33,32,127,0,11,1.0
1,36,224,42,23,65,0,11,1.0
1,37,1871,257,26,69,0,10,1.0
1,38,1584,777,34,50,0,10,1.0
1,39,1658,915,36,56,0,10,1.0
1,40,1340,288,28,36,0,10,0.86486
1,41,1249,111,27,32,0,10,0.17857
1,42,718,790,30,48,0,10,0.51613
1,43,703,503,30,43,0,10,0.64516
1,44,699,428,30,42,0,10,0.51613
1,45,687,206,77,112,0,7,0.79226
1,46,678,291,57,121,0,7,0.57603
1,47,1543,628,176,116,0,4,1.0
1,48,1193,320,270,255,0,3,0.98981
1,49,1790,94,152,105,0,4,0.85621
1,50,1483,538,252,181,0,5,0.64635
1,51,1279,173,129,104,0,4,1.0
1,52,1280,153,162,96,0,4,0.12681
1,53,1249,150,160,99,0,4,0.21199
1,54,1185,-7,153,95,0,4,0.27591
1,55,563,162,166,97,0,4,0.2782
1,56,550,84,172,88,0,4,0.38475
1,57,517,55,170,89,0,4,0.16589
1,58,574,15,139,107,0,4,0.20529
1,59,1725,882,196,134,0,4,0.68329
1,60,796,149,60,175,1,1,1.0
1,61,1789,206,65,184,1,1,1.0
1,62,1487,71,53,145,1,1,0.76535
1,63,1636,265,66,181,1,1,1.0
1,64,1358,612,42,89,0,10,0.11628
1,65,1557,254,60,192,1,1,0.26705
1,66,1104,212,56,181,1,1,1.0
1,67,1031,133,80,183,1,1,0.94364
1,68,228,401,63,203,1,1,1.0
1,69,264,365,60,221,1,1,0.61542
1,70,872,122,58,180,1,1,1.0
1,71,912,129,48,161,1,1,0.61224
1,72,1040,-39,46,123,1,1,0.67742
1,73,996,-41,47,121,1,1,0.60109
1,74,1449,251,55,171,1,1,0.8396
1,75,1420,198,46,171,1,1,0.55567
1,76,704,-5,53,163,1,1,0.80251
1,77,759,-59,40,110,1,1,0.45946
1,78,551,-43,37,132,1,1,0.2873
1,79,598,-7,61,77,0,7,0.052109
1,80,-30,877,72,241,1,1,0.485
1,81,1195,40,76,112,0,7,0.99207
1,82,506,133,55,174,1,1,0.21633
1,83,514,148,88,180,1,1,1.0
1,84,463,85,52,173,1,1,0.68337
1,85,417,93,55,167,1,1,1.0
1,86,541,64,41,167,1,1,0.45536
1,87,491,42,49,161,1,1,0.41358
1,88,356,105,52,179,1,1,1.0
1,89,373,77,47,155,1,1,0.27431
1,90,287,124,53,170,1,1,1.0
1,91,337,86,49,175,1,1,0.3842
1,92,223,129,46,164,1,1,0.96699
1,93,266,92,56,180,1,1,0.42425
1,94,242,85,58,170,1,1,0.089305
1,95,264,71,54,167,1,1,0.09697
1,96,209,95,42,180,1,1,0.2702
1,97,914,-107,38,115,1,1,0.068966
1,116,1220,-14,63,148,1,1,0.36871
1,137,39,309,115,117,0,11,1.0
